"tp", "tn", "fp", "fn", "precision", "recall", "k_value"
"1", 1, 86, 0, 11, 1, 0.0833333333333333, 0
"2", 1, 86, 0, 11, 1, 0.0833333333333333, 0.01
"3", 2, 86, 0, 10, 1, 0.166666666666667, 0.02
"4", 3, 86, 0, 9, 1, 0.25, 0.03
"5", 4, 86, 0, 8, 1, 0.333333333333333, 0.04
"6", 4, 85, 1, 8, 0.8, 0.333333333333333, 0.05
"7", 6, 85, 1, 6, 0.857142857142857, 0.5, 0.06
"8", 6, 85, 1, 6, 0.857142857142857, 0.5, 0.07
"9", 8, 85, 1, 4, 0.888888888888889, 0.666666666666667, 0.08
"10", 8, 85, 1, 4, 0.888888888888889, 0.666666666666667, 0.09
"11", 9, 85, 1, 3, 0.9, 0.75, 0.1
"12", 9, 84, 2, 3, 0.818181818181818, 0.75, 0.11
"13", 9, 83, 3, 3, 0.75, 0.75, 0.12
"14", 10, 83, 3, 2, 0.769230769230769, 0.833333333333333, 0.13
"15", 10, 82, 4, 2, 0.714285714285714, 0.833333333333333, 0.14
"16", 10, 81, 5, 2, 0.666666666666667, 0.833333333333333, 0.15
"17", 10, 79, 7, 2, 0.588235294117647, 0.833333333333333, 0.16
"18", 10, 79, 7, 2, 0.588235294117647, 0.833333333333333, 0.17
"19", 10, 78, 8, 2, 0.555555555555556, 0.833333333333333, 0.18
"20", 10, 77, 9, 2, 0.526315789473684, 0.833333333333333, 0.19
"21", 10, 76, 10, 2, 0.5, 0.833333333333333, 0.2
